model_pair,size,sum
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""grok-4-0709""]",20,5
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""hunyuan-turbos-20250416""]",37,20
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""kimi-k2-0711-preview""]",43,28
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""llama-3.3-70b-instruct""]",58,37
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""llama-4-maverick-03-26-experimental""]",73,37
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""llama-4-maverick-17b-128e-instruct""]",49,35
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""llama-4-scout-17b-16e-instruct""]",38,26
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""magistral-medium-2506""]",44,32
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""minimax-m1""]",85,44
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""mistral-medium-2505""]",110,53
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""mistral-small-2506""]",29,19
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""mistral-small-3.1-24b-instruct-2503""]",85,63
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""o3-2025-04-16""]",104,35
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""o3-mini""]",73,49
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""o4-mini-2025-04-16""]",69,31
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwen-max-2025-01-25""]",32,19
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwen3-235b-a22b""]",65,39
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwen3-235b-a22b-instruct-2507""]",11,4
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwen3-235b-a22b-no-thinking""]",111,51
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwen3-30b-a3b""]",65,41
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""qwq-32b""]",33,18
"[""gemini-2.5-flash-preview-04-17"", ""gemini-2.5-flash-preview-04-17""]",6,3
"[""gemini-2.5-flash-preview-04-17"", ""gemini-2.5-pro""]",92,25
"[""gemini-2.5-flash-preview-04-17"", ""gemini-2.5-pro-preview-03-25""]",16,8
"[""gemini-2.5-flash-preview-04-17"", ""gemini-2.5-pro-preview-05-06""]",24,11
"[""gemini-2.5-flash-preview-04-17"", ""gemma-3-27b-it""]",83,44
"[""gemini-2.5-flash-preview-04-17"", ""gemma-3n-e4b-it""]",18,13
"[""gemini-2.5-flash-preview-04-17"", ""gpt-4.1-2025-04-14""]",63,38
"[""gemini-2.5-flash-preview-04-17"", ""gpt-4.1-mini-2025-04-14""]",64,40
"[""gemini-2.5-flash-preview-04-17"", ""gpt-4o-2024-11-20""]",13,9
"[""gemini-2.5-flash-preview-04-17"", ""gpt-4o-mini-2024-07-18""]",7,6
"[""gemini-2.5-flash-preview-04-17"", ""grok-3-mini-beta""]",61,33
"[""gemini-2.5-flash-preview-04-17"", ""grok-3-mini-high""]",32,17
"[""gemini-2.5-flash-preview-04-17"", ""grok-3-preview-02-24""]",66,26
"[""gemini-2.5-flash-preview-04-17"", ""grok-4-0709""]",1,1
"[""gemini-2.5-flash-preview-04-17"", ""hunyuan-turbos-20250416""]",9,7
"[""gemini-2.5-flash-preview-04-17"", ""kimi-k2-0711-preview""]",9,5
"[""gemini-2.5-flash-preview-04-17"", ""llama-3.3-70b-instruct""]",70,57
"[""gemini-2.5-flash-preview-04-17"", ""llama-4-maverick-03-26-experimental""]",63,29
"[""gemini-2.5-flash-preview-04-17"", ""llama-4-maverick-17b-128e-instruct""]",97,65
"[""gemini-2.5-flash-preview-04-17"", ""llama-4-scout-17b-16e-instruct""]",20,14
"[""gemini-2.5-flash-preview-04-17"", ""magistral-medium-2506""]",24,20
"[""gemini-2.5-flash-preview-04-17"", ""minimax-m1""]",44,28
"[""gemini-2.5-flash-preview-04-17"", ""mistral-medium-2505""]",103,58
"[""gemini-2.5-flash-preview-04-17"", ""mistral-small-2506""]",31,14
"[""gemini-2.5-flash-preview-04-17"", ""mistral-small-3.1-24b-instruct-2503""]",17,10
"[""gemini-2.5-flash-preview-04-17"", ""o3-2025-04-16""]",97,42
"[""gemini-2.5-flash-preview-04-17"", ""o3-mini""]",75,50
"[""gemini-2.5-flash-preview-04-17"", ""o4-mini-2025-04-16""]",77,41
"[""gemini-2.5-flash-preview-04-17"", ""qwen-max-2025-01-25""]",56,33
"[""gemini-2.5-flash-preview-04-17"", ""qwen3-235b-a22b""]",58,30
"[""gemini-2.5-flash-preview-04-17"", ""qwen3-235b-a22b-no-thinking""]",87,55
"[""gemini-2.5-flash-preview-04-17"", ""qwen3-30b-a3b""]",59,37
"[""gemini-2.5-flash-preview-04-17"", ""qwq-32b""]",55,32
"[""gemini-2.5-pro"", ""gemini-2.5-pro-preview-05-06""]",80,52
"[""gemini-2.5-pro"", ""gemma-3-27b-it""]",167,124
"[""gemini-2.5-pro"", ""gemma-3n-e4b-it""]",63,55
"[""gemini-2.5-pro"", ""gpt-4.1-2025-04-14""]",131,94
"[""gemini-2.5-pro"", ""gpt-4.1-mini-2025-04-14""]",131,90
"[""gemini-2.5-pro"", ""grok-3-mini-beta""]",132,100
"[""gemini-2.5-pro"", ""grok-3-mini-high""]",49,34
"[""gemini-2.5-pro"", ""grok-3-preview-02-24""]",112,72
"[""gemini-2.5-pro"", ""grok-4-0709""]",27,17
"[""gemini-2.5-pro"", ""hunyuan-turbos-20250416""]",44,33
"[""gemini-2.5-pro"", ""kimi-k2-0711-preview""]",39,28
"[""gemini-2.5-pro"", ""llama-3.3-70b-instruct""]",123,104
"[""gemini-2.5-pro"", ""llama-4-maverick-03-26-experimental""]",141,84
"[""gemini-2.5-pro"", ""llama-4-maverick-17b-128e-instruct""]",112,94
"[""gemini-2.5-pro"", ""llama-4-scout-17b-16e-instruct""]",80,62
"[""gemini-2.5-pro"", ""magistral-medium-2506""]",62,53
"[""gemini-2.5-pro"", ""minimax-m1""]",109,69
"[""gemini-2.5-pro"", ""mistral-medium-2505""]",225,162
"[""gemini-2.5-pro"", ""mistral-small-2506""]",61,47
"[""gemini-2.5-pro"", ""mistral-small-3.1-24b-instruct-2503""]",96,83
"[""gemini-2.5-pro"", ""o3-2025-04-16""]",136,83
"[""gemini-2.5-pro"", ""o3-mini""]",176,138
"[""gemini-2.5-pro"", ""o4-mini-2025-04-16""]",124,86
"[""gemini-2.5-pro"", ""qwen-max-2025-01-25""]",77,56
"[""gemini-2.5-pro"", ""qwen3-235b-a22b""]",118,82
"[""gemini-2.5-pro"", ""qwen3-235b-a22b-instruct-2507""]",12,9
"[""gemini-2.5-pro"", ""qwen3-235b-a22b-no-thinking""]",180,126
"[""gemini-2.5-pro"", ""qwen3-30b-a3b""]",129,98
"[""gemini-2.5-pro"", ""qwq-32b""]",94,81
"[""gemini-2.5-pro-preview-03-25"", ""gemma-3-27b-it""]",38,27
"[""gemini-2.5-pro-preview-03-25"", ""gpt-4.1-2025-04-14""]",38,26
"[""gemini-2.5-pro-preview-03-25"", ""gpt-4.1-mini-2025-04-14""]",22,18
"[""gemini-2.5-pro-preview-03-25"", ""gpt-4o-2024-11-20""]",14,13
"[""gemini-2.5-pro-preview-03-25"", ""gpt-4o-mini-2024-07-18""]",21,21
"[""gemini-2.5-pro-preview-03-25"", ""grok-3-mini-beta""]",25,18
"[""gemini-2.5-pro-preview-03-25"", ""grok-3-preview-02-24""]",37,22
"[""gemini-2.5-pro-preview-03-25"", ""llama-3.3-70b-instruct""]",44,38
"[""gemini-2.5-pro-preview-03-25"", ""llama-4-maverick-03-26-experimental""]",5,3
"[""gemini-2.5-pro-preview-03-25"", ""llama-4-maverick-17b-128e-instruct""]",31,27
"[""gemini-2.5-pro-preview-03-25"", ""o3-2025-04-16""]",32,16
"[""gemini-2.5-pro-preview-03-25"", ""o3-mini""]",24,18
"[""gemini-2.5-pro-preview-03-25"", ""o4-mini-2025-04-16""]",29,11
"[""gemini-2.5-pro-preview-03-25"", ""qwen-max-2025-01-25""]",33,22
"[""gemini-2.5-pro-preview-03-25"", ""qwen3-235b-a22b""]",16,7
"[""gemini-2.5-pro-preview-03-25"", ""qwen3-30b-a3b""]",13,10
"[""gemini-2.5-pro-preview-03-25"", ""qwq-32b""]",29,16
"[""gemini-2.5-pro-preview-05-06"", ""gemma-3-27b-it""]",57,33
"[""gemini-2.5-pro-preview-05-06"", ""gemma-3n-e4b-it""]",4,3
"[""gemini-2.5-pro-preview-05-06"", ""gpt-4.1-2025-04-14""]",33,15
"[""gemini-2.5-pro-preview-05-06"", ""gpt-4.1-mini-2025-04-14""]",49,37
"[""gemini-2.5-pro-preview-05-06"", ""grok-3-mini-beta""]",41,29
"[""gemini-2.5-pro-preview-05-06"", ""grok-3-preview-02-24""]",39,26
"[""gemini-2.5-pro-preview-05-06"", ""hunyuan-turbos-20250416""]",7,3
"[""gemini-2.5-pro-preview-05-06"", ""llama-3.3-70b-instruct""]",33,25
"[""gemini-2.5-pro-preview-05-06"", ""llama-4-maverick-03-26-experimental""]",33,11
"[""gemini-2.5-pro-preview-05-06"", ""llama-4-maverick-17b-128e-instruct""]",30,21
"[""gemini-2.5-pro-preview-05-06"", ""llama-4-scout-17b-16e-instruct""]",2,2
"[""gemini-2.5-pro-preview-05-06"", ""magistral-medium-2506""]",15,12
"[""gemini-2.5-pro-preview-05-06"", ""minimax-m1""]",23,13
"[""gemini-2.5-pro-preview-05-06"", ""mistral-medium-2505""]",87,57
"[""gemini-2.5-pro-preview-05-06"", ""mistral-small-3.1-24b-instruct-2503""]",6,6
"[""gemini-2.5-pro-preview-05-06"", ""o3-2025-04-16""]",55,19
"[""gemini-2.5-pro-preview-05-06"", ""o3-mini""]",49,32
"[""gemini-2.5-pro-preview-05-06"", ""o4-mini-2025-04-16""]",46,26
"[""gemini-2.5-pro-preview-05-06"", ""qwen-max-2025-01-25""]",22,12
"[""gemini-2.5-pro-preview-05-06"", ""qwen3-235b-a22b""]",31,20
"[""gemini-2.5-pro-preview-05-06"", ""qwen3-235b-a22b-no-thinking""]",70,43
"[""gemini-2.5-pro-preview-05-06"", ""qwen3-30b-a3b""]",51,37
"[""gemini-2.5-pro-preview-05-06"", ""qwq-32b""]",29,22
"[""gemma-3-27b-it"", ""gemma-3n-e4b-it""]",31,22
"[""gemma-3-27b-it"", ""gpt-4.1-2025-04-14""]",114,49
"[""gemma-3-27b-it"", ""gpt-4.1-mini-2025-04-14""]",112,59
"[""gemma-3-27b-it"", ""gpt-4o-2024-11-20""]",16,12
"[""gemma-3-27b-it"", ""gpt-4o-mini-2024-07-18""]",19,16
"[""gemma-3-27b-it"", ""grok-3-mini-beta""]",87,46
"[""gemma-3-27b-it"", ""grok-3-mini-high""]",27,14
"[""gemma-3-27b-it"", ""grok-3-preview-02-24""]",105,32
"[""gemma-3-27b-it"", ""grok-4-0709""]",23,6
"[""gemma-3-27b-it"", ""hunyuan-turbos-20250416""]",27,12
"[""gemma-3-27b-it"", ""kimi-k2-0711-preview""]",30,14
"[""gemma-3-27b-it"", ""llama-3.3-70b-instruct""]",87,60
"[""gemma-3-27b-it"", ""llama-4-maverick-03-26-experimental""]",89,33
"[""gemma-3-27b-it"", ""llama-4-maverick-17b-128e-instruct""]",86,58
"[""gemma-3-27b-it"", ""llama-4-scout-17b-16e-instruct""]",38,33
"[""gemma-3-27b-it"", ""magistral-medium-2506""]",39,28
"[""gemma-3-27b-it"", ""minimax-m1""]",74,38
"[""gemma-3-27b-it"", ""mistral-medium-2505""]",139,68
"[""gemma-3-27b-it"", ""mistral-small-2506""]",23,11
"[""gemma-3-27b-it"", ""mistral-small-3.1-24b-instruct-2503""]",40,31
"[""gemma-3-27b-it"", ""o3-2025-04-16""]",136,52
"[""gemma-3-27b-it"", ""o3-mini""]",119,74
"[""gemma-3-27b-it"", ""o4-mini-2025-04-16""]",106,49
"[""gemma-3-27b-it"", ""qwen-max-2025-01-25""]",73,41
"[""gemma-3-27b-it"", ""qwen3-235b-a22b""]",80,49
"[""gemma-3-27b-it"", ""qwen3-235b-a22b-instruct-2507""]",7,3
"[""gemma-3-27b-it"", ""qwen3-235b-a22b-no-thinking""]",119,58
"[""gemma-3-27b-it"", ""qwen3-30b-a3b""]",74,42
"[""gemma-3-27b-it"", ""qwq-32b""]",81,46
"[""gemma-3n-e4b-it"", ""gpt-4.1-2025-04-14""]",23,8
"[""gemma-3n-e4b-it"", ""gpt-4.1-mini-2025-04-14""]",21,13
"[""gemma-3n-e4b-it"", ""grok-3-mini-beta""]",28,10
"[""gemma-3n-e4b-it"", ""grok-3-mini-high""]",31,13
"[""gemma-3n-e4b-it"", ""grok-3-preview-02-24""]",29,8
"[""gemma-3n-e4b-it"", ""grok-4-0709""]",23,7
"[""gemma-3n-e4b-it"", ""hunyuan-turbos-20250416""]",6,4
"[""gemma-3n-e4b-it"", ""kimi-k2-0711-preview""]",31,10
"[""gemma-3n-e4b-it"", ""llama-3.3-70b-instruct""]",12,5
"[""gemma-3n-e4b-it"", ""llama-4-maverick-03-26-experimental""]",30,12
"[""gemma-3n-e4b-it"", ""llama-4-maverick-17b-128e-instruct""]",19,11
"[""gemma-3n-e4b-it"", ""llama-4-scout-17b-16e-instruct""]",27,19
"[""gemma-3n-e4b-it"", ""magistral-medium-2506""]",24,18
"[""gemma-3n-e4b-it"", ""minimax-m1""]",56,22
"[""gemma-3n-e4b-it"", ""mistral-medium-2505""]",47,18
"[""gemma-3n-e4b-it"", ""mistral-small-2506""]",22,9
"[""gemma-3n-e4b-it"", ""mistral-small-3.1-24b-instruct-2503""]",29,17
"[""gemma-3n-e4b-it"", ""o3-2025-04-16""]",56,11
"[""gemma-3n-e4b-it"", ""o3-mini""]",25,13
"[""gemma-3n-e4b-it"", ""o4-mini-2025-04-16""]",32,19
"[""gemma-3n-e4b-it"", ""qwen-max-2025-01-25""]",19,5
"[""gemma-3n-e4b-it"", ""qwen3-235b-a22b""]",28,8
"[""gemma-3n-e4b-it"", ""qwen3-235b-a22b-instruct-2507""]",2,1
"[""gemma-3n-e4b-it"", ""qwen3-235b-a22b-no-thinking""]",65,24
"[""gemma-3n-e4b-it"", ""qwen3-30b-a3b""]",23,12
"[""gemma-3n-e4b-it"", ""qwq-32b""]",9,6
"[""gpt-4.1-2025-04-14"", ""gpt-4.1-mini-2025-04-14""]",76,48
"[""gpt-4.1-2025-04-14"", ""gpt-4o-2024-11-20""]",27,14
"[""gpt-4.1-2025-04-14"", ""gpt-4o-mini-2024-07-18""]",23,15
"[""gpt-4.1-2025-04-14"", ""grok-3-mini-beta""]",70,36
"[""gpt-4.1-2025-04-14"", ""grok-3-mini-high""]",35,23
"[""gpt-4.1-2025-04-14"", ""grok-3-preview-02-24""]",88,33
"[""gpt-4.1-2025-04-14"", ""grok-4-0709""]",14,7
"[""gpt-4.1-2025-04-14"", ""hunyuan-turbos-20250416""]",12,6
"[""gpt-4.1-2025-04-14"", ""kimi-k2-0711-preview""]",34,19
"[""gpt-4.1-2025-04-14"", ""llama-3.3-70b-instruct""]",89,59
"[""gpt-4.1-2025-04-14"", ""llama-4-maverick-03-26-experimental""]",66,30
"[""gpt-4.1-2025-04-14"", ""llama-4-maverick-17b-128e-instruct""]",75,46
"[""gpt-4.1-2025-04-14"", ""llama-4-scout-17b-16e-instruct""]",21,16
"[""gpt-4.1-2025-04-14"", ""magistral-medium-2506""]",31,25
"[""gpt-4.1-2025-04-14"", ""minimax-m1""]",66,34
"[""gpt-4.1-2025-04-14"", ""mistral-medium-2505""]",110,56
"[""gpt-4.1-2025-04-14"", ""mistral-small-2506""]",30,17
"[""gpt-4.1-2025-04-14"", ""mistral-small-3.1-24b-instruct-2503""]",41,32
"[""gpt-4.1-2025-04-14"", ""o3-2025-04-16""]",124,56
"[""gpt-4.1-2025-04-14"", ""o3-mini""]",84,56
"[""gpt-4.1-2025-04-14"", ""o4-mini-2025-04-16""]",93,49
"[""gpt-4.1-2025-04-14"", ""qwen-max-2025-01-25""]",77,43
"[""gpt-4.1-2025-04-14"", ""qwen3-235b-a22b""]",60,36
"[""gpt-4.1-2025-04-14"", ""qwen3-235b-a22b-instruct-2507""]",5,2
"[""gpt-4.1-2025-04-14"", ""qwen3-235b-a22b-no-thinking""]",121,57
"[""gpt-4.1-2025-04-14"", ""qwen3-30b-a3b""]",62,36
"[""gpt-4.1-2025-04-14"", ""qwq-32b""]",63,36
"[""gpt-4.1-mini-2025-04-14"", ""grok-3-mini-beta""]",91,37
"[""gpt-4.1-mini-2025-04-14"", ""grok-3-mini-high""]",32,13
"[""gpt-4.1-mini-2025-04-14"", ""grok-3-preview-02-24""]",85,22
"[""gpt-4.1-mini-2025-04-14"", ""grok-4-0709""]",22,6
"[""gpt-4.1-mini-2025-04-14"", ""hunyuan-turbos-20250416""]",11,3
"[""gpt-4.1-mini-2025-04-14"", ""kimi-k2-0711-preview""]",37,14
"[""gpt-4.1-mini-2025-04-14"", ""llama-3.3-70b-instruct""]",58,43
"[""gpt-4.1-mini-2025-04-14"", ""llama-4-maverick-03-26-experimental""]",72,16
"[""gpt-4.1-mini-2025-04-14"", ""llama-4-maverick-17b-128e-instruct""]",81,57
"[""gpt-4.1-mini-2025-04-14"", ""llama-4-scout-17b-16e-instruct""]",38,23
"[""gpt-4.1-mini-2025-04-14"", ""magistral-medium-2506""]",33,28
"[""gpt-4.1-mini-2025-04-14"", ""minimax-m1""]",66,29
"[""gpt-4.1-mini-2025-04-14"", ""mistral-medium-2505""]",137,53
"[""gpt-4.1-mini-2025-04-14"", ""mistral-small-2506""]",27,12
"[""gpt-4.1-mini-2025-04-14"", ""mistral-small-3.1-24b-instruct-2503""]",32,18
"[""gpt-4.1-mini-2025-04-14"", ""o3-2025-04-16""]",101,34
"[""gpt-4.1-mini-2025-04-14"", ""o3-mini""]",80,48
"[""gpt-4.1-mini-2025-04-14"", ""o4-mini-2025-04-16""]",99,40
"[""gpt-4.1-mini-2025-04-14"", ""qwen-max-2025-01-25""]",49,23
"[""gpt-4.1-mini-2025-04-14"", ""qwen3-235b-a22b""]",75,33
"[""gpt-4.1-mini-2025-04-14"", ""qwen3-235b-a22b-instruct-2507""]",13,6
"[""gpt-4.1-mini-2025-04-14"", ""qwen3-235b-a22b-no-thinking""]",129,60
"[""gpt-4.1-mini-2025-04-14"", ""qwen3-30b-a3b""]",57,36
"[""gpt-4.1-mini-2025-04-14"", ""qwq-32b""]",65,33
"[""gpt-4o-2024-11-20"", ""gpt-4o-mini-2024-07-18""]",13,11
"[""gpt-4o-2024-11-20"", ""grok-3-mini-beta""]",5,1
"[""gpt-4o-2024-11-20"", ""grok-3-preview-02-24""]",18,6
"[""gpt-4o-2024-11-20"", ""llama-3.3-70b-instruct""]",26,17
"[""gpt-4o-2024-11-20"", ""llama-4-maverick-17b-128e-instruct""]",12,6
"[""gpt-4o-2024-11-20"", ""o3-2025-04-16""]",7,4
"[""gpt-4o-2024-11-20"", ""o3-mini""]",25,9
"[""gpt-4o-2024-11-20"", ""o4-mini-2025-04-16""]",16,9
"[""gpt-4o-2024-11-20"", ""qwen-max-2025-01-25""]",10,3
"[""gpt-4o-2024-11-20"", ""qwq-32b""]",11,7
"[""gpt-4o-mini-2024-07-18"", ""grok-3-mini-beta""]",2,1
"[""gpt-4o-mini-2024-07-18"", ""grok-3-preview-02-24""]",25,5
"[""gpt-4o-mini-2024-07-18"", ""llama-3.3-70b-instruct""]",18,12
"[""gpt-4o-mini-2024-07-18"", ""llama-4-maverick-17b-128e-instruct""]",11,7
"[""gpt-4o-mini-2024-07-18"", ""o3-2025-04-16""]",16,3
"[""gpt-4o-mini-2024-07-18"", ""o3-mini""]",22,8
"[""gpt-4o-mini-2024-07-18"", ""o4-mini-2025-04-16""]",14,2
"[""gpt-4o-mini-2024-07-18"", ""qwen-max-2025-01-25""]",7,2
"[""gpt-4o-mini-2024-07-18"", ""qwq-32b""]",17,6
"[""grok-3-mini-beta"", ""grok-3-mini-high""]",24,17
"[""grok-3-mini-beta"", ""grok-3-preview-02-24""]",74,31
"[""grok-3-mini-beta"", ""grok-4-0709""]",23,11
"[""grok-3-mini-beta"", ""hunyuan-turbos-20250416""]",12,3
"[""grok-3-mini-beta"", ""kimi-k2-0711-preview""]",43,17
"[""grok-3-mini-beta"", ""llama-3.3-70b-instruct""]",71,51
"[""grok-3-mini-beta"", ""llama-4-maverick-03-26-experimental""]",76,28
"[""grok-3-mini-beta"", ""llama-4-maverick-17b-128e-instruct""]",68,41
"[""grok-3-mini-beta"", ""llama-4-scout-17b-16e-instruct""]",32,24
"[""grok-3-mini-beta"", ""magistral-medium-2506""]",23,17
"[""grok-3-mini-beta"", ""minimax-m1""]",68,32
"[""grok-3-mini-beta"", ""mistral-medium-2505""]",105,46
"[""grok-3-mini-beta"", ""mistral-small-2506""]",41,28
"[""grok-3-mini-beta"", ""mistral-small-3.1-24b-instruct-2503""]",34,25
"[""grok-3-mini-beta"", ""o3-2025-04-16""]",117,35
"[""grok-3-mini-beta"", ""o3-mini""]",91,57
"[""grok-3-mini-beta"", ""o4-mini-2025-04-16""]",81,34
"[""grok-3-mini-beta"", ""qwen-max-2025-01-25""]",61,18
"[""grok-3-mini-beta"", ""qwen3-235b-a22b""]",53,28
"[""grok-3-mini-beta"", ""qwen3-235b-a22b-instruct-2507""]",2,1
"[""grok-3-mini-beta"", ""qwen3-235b-a22b-no-thinking""]",110,47
"[""grok-3-mini-beta"", ""qwen3-30b-a3b""]",70,43
"[""grok-3-mini-beta"", ""qwq-32b""]",47,23
"[""grok-3-mini-high"", ""grok-3-preview-02-24""]",31,15
"[""grok-3-mini-high"", ""grok-4-0709""]",22,7
"[""grok-3-mini-high"", ""hunyuan-turbos-20250416""]",16,7
"[""grok-3-mini-high"", ""kimi-k2-0711-preview""]",41,18
"[""grok-3-mini-high"", ""llama-3.3-70b-instruct""]",39,27
"[""grok-3-mini-high"", ""llama-4-maverick-03-26-experimental""]",40,12
"[""grok-3-mini-high"", ""llama-4-maverick-17b-128e-instruct""]",36,24
"[""grok-3-mini-high"", ""llama-4-scout-17b-16e-instruct""]",39,25
"[""grok-3-mini-high"", ""magistral-medium-2506""]",23,19
"[""grok-3-mini-high"", ""minimax-m1""]",31,15
"[""grok-3-mini-high"", ""mistral-medium-2505""]",37,20
"[""grok-3-mini-high"", ""mistral-small-2506""]",34,19
"[""grok-3-mini-high"", ""mistral-small-3.1-24b-instruct-2503""]",37,27
"[""grok-3-mini-high"", ""o3-2025-04-16""]",43,12
"[""grok-3-mini-high"", ""o3-mini""]",31,19
"[""grok-3-mini-high"", ""o4-mini-2025-04-16""]",37,18
"[""grok-3-mini-high"", ""qwen-max-2025-01-25""]",18,8
"[""grok-3-mini-high"", ""qwen3-235b-a22b""]",27,15
"[""grok-3-mini-high"", ""qwen3-235b-a22b-instruct-2507""]",3,1
"[""grok-3-mini-high"", ""qwen3-235b-a22b-no-thinking""]",48,19
"[""grok-3-mini-high"", ""qwen3-30b-a3b""]",29,16
"[""grok-3-mini-high"", ""qwq-32b""]",22,13
"[""grok-3-preview-02-24"", ""grok-4-0709""]",19,9
"[""grok-3-preview-02-24"", ""hunyuan-turbos-20250416""]",14,10
"[""grok-3-preview-02-24"", ""kimi-k2-0711-preview""]",38,21
"[""grok-3-preview-02-24"", ""llama-3.3-70b-instruct""]",73,56
"[""grok-3-preview-02-24"", ""llama-4-maverick-03-26-experimental""]",56,34
"[""grok-3-preview-02-24"", ""llama-4-maverick-17b-128e-instruct""]",85,69
"[""grok-3-preview-02-24"", ""llama-4-scout-17b-16e-instruct""]",23,17
"[""grok-3-preview-02-24"", ""magistral-medium-2506""]",22,20
"[""grok-3-preview-02-24"", ""minimax-m1""]",67,38
"[""grok-3-preview-02-24"", ""mistral-medium-2505""]",109,68
"[""grok-3-preview-02-24"", ""mistral-small-2506""]",22,12
"[""grok-3-preview-02-24"", ""mistral-small-3.1-24b-instruct-2503""]",29,24
"[""grok-3-preview-02-24"", ""o3-2025-04-16""]",97,44
"[""grok-3-preview-02-24"", ""o3-mini""]",100,76
"[""grok-3-preview-02-24"", ""o4-mini-2025-04-16""]",97,61
"[""grok-3-preview-02-24"", ""qwen-max-2025-01-25""]",54,37
"[""grok-3-preview-02-24"", ""qwen3-235b-a22b""]",60,37
"[""grok-3-preview-02-24"", ""qwen3-235b-a22b-instruct-2507""]",8,4
"[""grok-3-preview-02-24"", ""qwen3-235b-a22b-no-thinking""]",117,67
"[""grok-3-preview-02-24"", ""qwen3-30b-a3b""]",65,39
"[""grok-3-preview-02-24"", ""qwq-32b""]",58,36
"[""grok-4-0709"", ""hunyuan-turbos-20250416""]",16,11
"[""grok-4-0709"", ""kimi-k2-0711-preview""]",43,27
"[""grok-4-0709"", ""llama-3.3-70b-instruct""]",19,16
"[""grok-4-0709"", ""llama-4-maverick-03-26-experimental""]",19,11
"[""grok-4-0709"", ""llama-4-maverick-17b-128e-instruct""]",30,22
"[""grok-4-0709"", ""llama-4-scout-17b-16e-instruct""]",26,23
"[""grok-4-0709"", ""magistral-medium-2506""]",6,4
"[""grok-4-0709"", ""minimax-m1""]",32,25
"[""grok-4-0709"", ""mistral-medium-2505""]",20,12
"[""grok-4-0709"", ""mistral-small-2506""]",19,12
"[""grok-4-0709"", ""mistral-small-3.1-24b-instruct-2503""]",21,15
"[""grok-4-0709"", ""o3-2025-04-16""]",20,13
"[""grok-4-0709"", ""o3-mini""]",22,14
"[""grok-4-0709"", ""o4-mini-2025-04-16""]",15,9
"[""grok-4-0709"", ""qwen-max-2025-01-25""]",16,13
"[""grok-4-0709"", ""qwen3-235b-a22b""]",21,13
"[""grok-4-0709"", ""qwen3-235b-a22b-instruct-2507""]",12,6
"[""grok-4-0709"", ""qwen3-235b-a22b-no-thinking""]",20,13
"[""grok-4-0709"", ""qwen3-30b-a3b""]",20,12
"[""grok-4-0709"", ""qwq-32b""]",12,7
"[""hunyuan-turbos-20250416"", ""kimi-k2-0711-preview""]",35,18
"[""hunyuan-turbos-20250416"", ""llama-3.3-70b-instruct""]",9,8
"[""hunyuan-turbos-20250416"", ""llama-4-maverick-03-26-experimental""]",8,2
"[""hunyuan-turbos-20250416"", ""llama-4-maverick-17b-128e-instruct""]",10,7
"[""hunyuan-turbos-20250416"", ""llama-4-scout-17b-16e-instruct""]",8,7
"[""hunyuan-turbos-20250416"", ""magistral-medium-2506""]",20,10
"[""hunyuan-turbos-20250416"", ""minimax-m1""]",24,13
"[""hunyuan-turbos-20250416"", ""mistral-medium-2505""]",24,17
"[""hunyuan-turbos-20250416"", ""mistral-small-2506""]",9,5
"[""hunyuan-turbos-20250416"", ""mistral-small-3.1-24b-instruct-2503""]",12,7
"[""hunyuan-turbos-20250416"", ""o3-2025-04-16""]",19,9
"[""hunyuan-turbos-20250416"", ""o3-mini""]",20,17
"[""hunyuan-turbos-20250416"", ""o4-mini-2025-04-16""]",12,8
"[""hunyuan-turbos-20250416"", ""qwen-max-2025-01-25""]",5,2
"[""hunyuan-turbos-20250416"", ""qwen3-235b-a22b""]",11,3
"[""hunyuan-turbos-20250416"", ""qwen3-235b-a22b-instruct-2507""]",6,2
"[""hunyuan-turbos-20250416"", ""qwen3-235b-a22b-no-thinking""]",35,20
"[""hunyuan-turbos-20250416"", ""qwen3-30b-a3b""]",11,7
"[""kimi-k2-0711-preview"", ""llama-3.3-70b-instruct""]",26,18
"[""kimi-k2-0711-preview"", ""llama-4-maverick-03-26-experimental""]",45,16
"[""kimi-k2-0711-preview"", ""llama-4-maverick-17b-128e-instruct""]",29,20
